id,date,description,files_changed,change_type,details
1,2026-03-10,Set up NestJS TypeScript project,"src/main.ts,src/app.module.ts,src/app.controller.ts,src/app.service.ts,tsconfig.json,package.json,.gitignore",setup,"Created NestJS project with TypeScript. Source in src/, build output in build/. Added scripts: build, start, start:dev, start:debug. Revert: delete all files and run npm init."
2,2026-03-10,Set up Prisma for MySQL with introspective workflow,"database/schema.prisma,database/schema.sql,prisma.config.ts,.env,src/database/prisma.service.ts,src/database/database.module.ts,src/app.module.ts,package.json",setup,"Installed Prisma + dotenv. Moved Prisma schema to database/ dir. Created schema.sql for DDL. Created PrismaService and global DatabaseModule. Added db:push, db:pull, db:generate, db:sync scripts. Revert: delete database/, src/database/, prisma.config.ts, remove prisma/@prisma/client/dotenv from package.json, remove db scripts."
3,2026-03-10,Created db-sync shell script,db-sync.sh,setup,"Shell script that parses DATABASE_URL from .env, runs database/schema.sql against MySQL, then runs prisma db pull and prisma generate. Revert: delete db-sync.sh."
4,2026-03-10,Moved database files from database/ to src/database/,"src/database/schema.prisma,src/database/schema.sql,prisma.config.ts,db-sync.sh,package.json",refactor,"Moved schema.prisma and schema.sql from root database/ into src/database/. Updated prisma.config.ts schema path to src/database/schema.prisma. Updated db-sync.sh and package.json db:push script to reference src/database/schema.sql. Fixed schema.prisma output path to ../generated/prisma. Revert: move files back to database/ and restore old paths in prisma.config.ts, db-sync.sh, package.json."
5,2026-03-10,Added DDL for all tables,src/database/schema.sql,feature,"Created tables: user, harvest_category, harvest, harvest_image, chat_room, message. Includes all PKs, unique constraints (user.email), FKs, ENUM for user.type, and self-referencing FK on message.reply_to_id. Revert: replace schema.sql content with the original comment-only template."
6,2026-03-10,Switch to prisma-client-js for node_modules output,"src/database/schema.prisma,src/database/prisma.service.ts,.gitignore",fix,"Changed generator provider from prisma-client to prisma-client-js so client generates into node_modules/@prisma/client. Updated import to @prisma/client. Removed src/database/generated from .gitignore. Revert: change provider back to prisma-client with explicit output path."
7,2026-03-11,Installed auth/JWT dependencies,package.json,setup,"Installed @nestjs/jwt, @nestjs/passport, passport-jwt, @nestjs/config, and @types/passport-jwt for authToken.service.ts. Revert: npm uninstall @nestjs/jwt @nestjs/passport passport-jwt @nestjs/config @types/passport-jwt."
8,2026-03-11,Removed EncryptionService from AuthTokenService,"src/utils/authToken.service.ts,src/types/general.d.ts",refactor,"Removed EncryptionService dependency. JWT payload now stores userId directly as 'sub' claim instead of encrypting it. Changed userId type from bigint to number. Removed unused DataInJwt type from general.d.ts. Revert: restore EncryptionService imports/usage, re-add DataInJwt type, change userId back to bigint with encrypt/decrypt calls."
9,2026-03-11,Implemented Auth Routes,"src/features/auth/auth.controller.ts,src/features/auth/auth.service.ts,src/features/auth/auth.module.ts,src/features/auth/dtos/signup.dto.ts,src/features/auth/dtos/login.dto.ts,src/features/auth/dtos/reset-password.dto.ts,src/utils/bcrypt.service.ts,src/app.module.ts,src/main.ts,package.json",feature,"5 endpoints: POST /auth/signup (farmer/wholesaler only), POST /auth/login (normal users), POST /auth/admin/login (admin only), POST /auth/reset-password (request token), POST /auth/reset-password/confirm (set new password). Fixed BcryptService to use config rounds. Added ConfigModule.forRoot globally. Added ValidationPipe with whitelist. Installed class-validator + class-transformer. Reset tokens stored in-memory (swap to Redis/DB later). Revert: empty auth.controller.ts/auth.service.ts/auth.module.ts, delete dtos/, restore old bcrypt.service.ts/app.module.ts/main.ts, npm uninstall class-validator class-transformer."
10,2026-03-14,Shared infrastructure - guards and decorators,"src/common/guards/jwt-auth.guard.ts,src/common/guards/roles.guard.ts,src/common/decorators/current-user.decorator.ts,src/common/decorators/roles.decorator.ts,src/common/config/multer.config.ts",feature,"Created JwtAuthGuard (extends AuthGuard jwt), RolesGuard (checks user.type against @Roles metadata), @CurrentUser() param decorator, @Roles() metadata decorator, multer config (disk storage, image filter, 5MB limit). Revert: delete src/common/ directory."
